State,County,Poverty Estimate,Poverty Percent,No Service,Few Services,Restricted Services,Full Service,Population,Service total
Tennessee,Bledsoe,2588,20.8,0,0,0,0,14961,0
Tennessee,Blount,12219,9.2,0,1,0,0,131641,1
Tennessee,Bradley,14675,13.8,0,1,0,0,106924,1
Tennessee,Campbell,7807,20,0,2,0,0,39818,2
Tennessee,Cannon,1954,13.3,0,0,0,0,14374,0
Tennessee,Carroll,4417,16.7,0,1,0,0,27841,1
Tennessee,Carter,8877,16.1,0,1,0,0,56452,1
Tennessee,Cheatham,3523,8.7,0,0,0,0,40539,0
Tennessee,Chester,2463,15.2,0,0,0,0,17260,0
Tennessee,Claiborne,5779,18.9,0,0,0,0,31827,0
Tennessee,Clay,1586,21,0,0,0,0,7640,0
Tennessee,Cocke,7044,19.7,0,1,0,0,35797,1
Tennessee,Coffee,7811,13.8,1,1,0,0,56024,0
Tennessee,Crockett,2115,15.2,0,0,0,0,14310,0
Tennessee,Cumberland,7274,12,0,1,0,0,60016,1
Tennessee,Davidson,85618,12.8,0,2,2,0,690540,6
Tennessee,Decatur,1936,17.1,0,0,0,0,11663,0
Tennessee,DeKalb,3591,17.5,0,0,0,0,20104,0
Tennessee,Dickson,5916,11,0,1,0,0,53289,1
Tennessee,Dyer,6022,16.7,0,1,0,0,37201,1
Tennessee,Fayette,4210,10.2,0,0,0,0,40612,0
Tennessee,Fentress,3568,19.4,0,0,0,0,18405,0
Tennessee,Franklin,5596,13.9,0,1,0,0,41999,1
Tennessee,Gibson,6397,13.4,0,1,0,0,49193,1
Tennessee,Giles,3606,12.5,0,1,0,0,29403,1
Tennessee,Grainger,3321,14.2,0,0,0,0,23268,0
Tennessee,Greene,11156,16.4,0,1,0,0,69077,1
Tennessee,Grundy,2407,18.2,0,1,0,0,13371,1
Tennessee,Hamblen,9561,15,0,1,0,0,64479,1
Tennessee,Hamilton,48007,13.3,0,2,0,0,364718,2
Tennessee,Hancock,1808,28.6,0,0,0,0,6568,0
Tennessee,Hardeman,4612,22,0,0,0,0,25247,0
Tennessee,Hardin,3736,14.8,0,0,0,0,25665,0
Tennessee,Hawkins,8674,15.5,0,1,0,0,56735,1
Tennessee,Haywood,3133,18.7,0,0,0,0,17391,0
Tennessee,Henderson,4034,14.6,0,0,0,0,27956,0
Tennessee,Henry,5583,17.8,0,1,0,0,32251,1
Tennessee,Hickman,3439,14.4,0,0,0,0,25017,0
Tennessee,Houston,1266,15.6,0,0,0,0,8201,0
Tennessee,Humphreys,2528,13.9,0,0,0,0,18528,0
Tennessee,Jackson,1950,16.8,0,0,0,0,11767,0
Tennessee,Jefferson,6948,12.9,0,1,0,0,54162,1
Tennessee,Johnson,3005,18.6,0,1,0,0,17755,1
Tennessee,Knox,50345,10.9,0,2,2,0,466184,6
Tennessee,Lake,1725,36.4,0,1,0,0,7273,1
Tennessee,Lauderdale,4595,19.8,0,0,0,0,25689,0
Tennessee,Lawrence,6651,15.2,0,0,0,0,43780,0
Tennessee,Lewis,1741,14.3,0,0,0,0,12131,0
Tennessee,Lincoln,4239,12.4,0,1,0,0,34158,1
Tennessee,Loudon,5736,10.6,0,0,0,0,53169,0
Tennessee,Macon,4069,16.7,0,0,0,0,24208,0
Tennessee,Madison,20847,22.2,0,1,0,0,97838,1
Tennessee,Marion,4186,14.7,0,0,0,0,28639,0
Tennessee,Marshall,4194,12.1,0,1,0,0,33708,1
Tennessee,Maury,9763,9.9,0,1,0,0,94615,1
Tennessee,McMinn,7439,14,0,1,0,0,53392,1
Tennessee,McNairy,3792,15,0,0,0,0,25814,0
Tennessee,Meigs,1978,16,0,0,0,0,12237,0
Tennessee,Monroe,6396,13.8,0,0,0,0,46413,0
Tennessee,Montgomery,22576,10.8,0,1,0,0,204992,1
Tennessee,Moore,620,9.8,0,0,0,0,6396,0
Tennessee,Morgan,3598,18.8,0,0,0,0,21538,0
Tennessee,Obion,4483,15.1,0,0,0,0,30343,0
Tennessee,Overton,3611,16.3,0,0,0,0,22171,0
Tennessee,Perry,1281,16.1,0,0,0,0,8020,0
Tennessee,Pickett,822,16.5,0,0,0,0,5068,0
Tennessee,Polk,2044,12.4,0,0,0,0,16807,0
Tennessee,Putnam,13250,17,0,1,0,0,78542,1
Tennessee,Rhea,4855,15,0,2,0,0,32964,2
Tennessee,Roane,7178,13.5,0,0,0,0,53331,0
Tennessee,Robertson,6546,9.2,0,2,0,0,70982,2
Tennessee,Rutherford,29418,8.8,0,1,0,0,324139,1
Tennessee,Scott,4292,19.8,0,0,0,0,22020,0
Tennessee,Sequatchie,2402,16.1,0,1,0,0,14936,1
Tennessee,Sevier,13485,13.8,0,1,0,0,98007,1
Tennessee,Shelby,174664,19.1,1,3,3,0,936611,8
Tennessee,Smith,2336,11.7,0,1,0,0,19926,1
Tennessee,Stewart,1798,13.2,0,0,0,0,13553,0
Tennessee,Sullivan,21301,13.6,0,2,1,0,157707,4
Tennessee,Sumner,18595,9.6,0,1,0,0,187680,1
Tennessee,Tipton,7698,12.7,0,0,0,0,61562,0
Tennessee,Trousdale,1361,15.4,0,1,0,0,10910,1
Tennessee,Unicoi,2812,16.2,0,1,0,0,17821,1
Tennessee,Union,3363,16.9,0,0,0,0,19678,0
Tennessee,Van Buren,931,16.1,0,0,0,0,5813,0
Tennessee,Warren,6761,16.5,0,0,0,0,40971,0
Tennessee,Washington,16625,13.2,0,2,0,0,128874,2
Tennessee,Wayne,2883,20.2,0,0,0,0,16638,0
Tennessee,Weakley,5328,16.9,0,1,0,0,33377,1
Tennessee,White,3753,13.8,0,1,0,0,27087,1
Tennessee,Williamson,10080,4.1,0,0,0,0,232380,0
Tennessee,Wilson,11645,8,0,0,0,0,140604,0
Texas,Anderson,9242,20.9,0,1,0,0,57917,1
Texas,Andrews,1722,9.2,0,1,0,0,18227,1
Texas,Angelina,14330,17,0,1,0,0,87119,1
Texas,Aransas,3986,17.1,0,1,0,0,24220,1
Texas,Archer,596,6.9,0,0,0,0,8754,0
Texas,Armstrong,169,9.3,0,0,0,0,1950,0
Texas,Atascosa,7618,14.9,0,0,0,0,50194,0
Texas,Austin,3378,11.4,0,1,0,0,29892,1
Texas,Bailey,945,14.4,0,0,0,0,6916,0
Texas,Bandera,2588,11,0,0,0,0,22770,0
Texas,Bastrop,9596,10.8,0,1,0,0,86839,1
Texas,Baylor,526,15.3,0,0,0,0,3560,0
Texas,Bee,5685,23.1,0,0,0,0,32609,0
Texas,Bell,52839,14.7,0,2,0,0,355700,2
Texas,Bexar,297131,15,1,11,3,0,1978826,16
Texas,Blanco,1199,9.8,0,0,0,0,11733,0
Texas,Borden,53,7.5,0,0,0,0,653,0
Texas,Bosque,2280,12.5,0,0,0,0,18428,0
Texas,Bowie,15191,17.4,0,1,0,0,93622,1
Texas,Brazoria,30696,8.3,0,1,0,0,368062,1
Texas,Brazos,48484,22.3,0,2,0,0,226370,2
Texas,Brewster,1282,14,0,0,0,0,9231,0
Texas,Briscoe,199,13.4,0,0,0,0,1348,0
Texas,Brooks,1978,28.7,0,0,0,0,7100,0
Texas,Brown,5642,15.6,0,1,0,0,37805,1
Texas,Burleson,2398,13.1,0,0,0,0,18237,0
Texas,Burnet,4598,9.5,0,1,0,0,47548,1
Texas,Caldwell,5373,12.7,0,0,0,0,42817,0
Texas,Calhoun,2565,12.4,0,1,0,0,21470,1
Texas,Callahan,1698,12.2,0,0,0,0,13959,0
Texas,Cameron,102649,24.4,0,0,0,0,422135,0
Texas,Camp,2167,16.7,0,0,0,0,12938,0
Texas,Carson,483,8.3,0,0,0,0,5957,0
Texas,Cass,5205,17.7,0,0,0,0,30002,0
Texas,Castro,1121,15.3,0,0,0,0,7561,0
Texas,Chambers,4224,9.3,0,0,0,0,42571,0
Texas,Cherokee,8336,16.7,0,1,0,0,52341,1
Texas,Childress,1156,21.4,0,0,0,0,7219,0
Texas,Clay,1156,11.1,0,0,0,0,10444,0
Texas,Cochran,546,19.2,0,0,0,0,2860,0
Texas,Coke,373,11.4,0,0,0,0,3298,0
Texas,Coleman,1291,16,0,0,0,0,8281,0
Texas,Collin,65922,6.2,0,2,0,0,1006038,2
Texas,Collingsworth,476,16.9,0,0,0,0,2939,0
Texas,Colorado,2706,12.7,0,0,0,0,21357,0
Texas,Comal,12293,7.5,0,3,0,0,148921,3
Texas,Comanche,2157,15.9,0,0,0,0,13597,0
Texas,Concho,374,13.5,0,0,0,0,3018,0
Texas,Cooke,4589,11.3,0,1,0,0,40428,1
Texas,Coryell,8083,12.7,0,1,0,0,75576,1
Texas,Cottle,243,17.9,0,0,0,0,1624,0
Texas,Crane,421,9,0,0,0,0,4739,0
Texas,Crockett,431,12.4,0,0,0,0,3393,0
Texas,Crosby,1087,19.8,0,0,0,0,5753,0
Texas,Culberson,397,18.6,0,0,0,0,2183,0
Texas,Dallam,798,11.1,0,1,0,0,7272,1
Texas,Dallas,357084,13.7,0,12,3,0,2622634,18
Texas,Dawson,2126,18.7,0,0,0,0,12849,0
Texas,DeafSmith,2791,15.5,0,0,0,0,18617,0
Texas,Delta,753,14.3,0,0,0,0,5277,0
Texas,Denton,62596,6.9,0,4,0,0,861690,4
Texas,DeWitt,3761,20.5,0,0,0,0,20217,0
Texas,Dickens,344,18.9,0,0,0,0,2182,0
Texas,Dimmit,2501,25.5,0,1,0,0,10232,1
Texas,Donley,502,16.3,0,0,0,0,3317,0
Texas,Duval,2087,20,0,0,0,0,11194,0
Texas,Eastland,2998,17,0,0,0,0,18289,0
Texas,Ector,22439,13.6,0,2,0,0,162067,2
Texas,Edwards,366,19.1,0,0,0,0,1944,0
Texas,ElPaso,145103,17.6,0,3,2,0,836915,7
Texas,Ellis,14973,7.9,0,1,0,0,179484,1
Texas,Erath,5006,12.6,0,1,0,0,42226,1
Texas,Falls,3056,20,0,0,0,0,17281,0
Texas,Fannin,5075,15.4,0,1,0,0,35046,1
Texas,Fayette,2369,9.4,0,0,0,0,25247,0
Texas,Fisher,501,13.3,0,0,0,0,3827,0
Texas,Floyd,995,17.7,0,0,0,0,5782,0
Texas,Foard,184,16.8,0,0,0,0,1207,0
Texas,FortBend,61776,7.4,0,1,0,0,790892,1
Texas,Franklin,1384,12.9,0,1,0,0,10767,1
Texas,Freestone,2421,13.3,0,0,0,0,19744,0
Texas,Frio,3776,22.3,0,0,0,0,20013,0
Texas,Gaines,2421,11.1,0,0,0,0,21077,0
Texas,Galveston,33751,9.9,0,4,0,0,337600,4
Texas,Garza,898,20.6,0,0,0,0,6028,0
Texas,Gillespie,2450,9.2,0,1,0,0,26668,1
Texas,Glasscock,105,7.3,0,0,0,0,1447,0
Texas,Goliad,993,13.2,0,0,0,0,7578,0
Texas,Gonzales,2947,14.3,0,0,0,0,20828,0
Texas,Gray,2797,14.2,0,1,0,0,22063,1
Texas,Grayson,18505,13.6,0,1,0,0,133527,1
Texas,Gregg,21845,18.1,0,1,0,0,123633,1
Texas,Grimes,4081,15.3,0,0,0,0,28447,0
Texas,Guadalupe,14311,8.5,0,1,0,0,163030,1
Texas,Hale,5321,17.6,0,1,0,0,33463,1
Texas,Hall,537,18.6,0,0,0,0,3025,0
Texas,Hamilton,1234,14.7,0,1,0,0,8434,1
Texas,Hansford,558,10.7,0,0,0,0,5431,0
Texas,Hardeman,600,15,0,0,0,0,3958,0
Texas,Hardin,6032,10.4,0,0,0,0,57356,0
Texas,Harris,747146,15.9,0,22,5,0,4680609,32
Texas,Harrison,10136,15.6,0,1,0,0,66547,1
Texas,Hartley,409,9.5,0,0,0,0,5588,0
Texas,Haskell,1041,20,0,1,0,0,5711,1
Texas,Hays,22434,9.6,0,2,0,0,222827,2
Texas,Hemphill,354,9.5,0,0,0,0,3901,0
Texas,Henderson,11681,14.2,0,0,0,0,81969,0
Texas,Hidalgo,207104,23.9,0,2,1,0,861137,4
Texas,Hill,5078,14,0,0,0,0,36109,0
Texas,Hockley,2841,12.9,0,0,0,0,22986,0
Texas,Hood,5919,9.4,0,1,0,0,60025,1
Texas,Hopkins,4652,12.7,0,1,0,0,36708,1
Texas,Houston,4040,20,0,0,0,0,22942,0
Texas,Howard,4821,15.7,0,1,0,0,36213,1
Texas,Hudspeth,1163,24.2,0,0,0,0,4687,0
Texas,Hunt,12240,12.6,0,1,0,0,96202,1
Texas,Hutchinson,2455,12.1,0,0,0,0,21105,0
Texas,Irion,107,6.9,0,0,0,0,1553,0
Texas,Jack,1075,13.6,0,0,0,0,8888,0
Texas,Jackson,1849,12.7,0,0,0,0,14822,0
Texas,Jasper,5960,17.3,0,1,0,0,35562,1
Texas,JeffDavis,474,22.2,0,0,0,0,2245,0
Texas,Jefferson,42858,18.3,0,2,0,0,253136,2
Texas,JimHogg,1035,20.1,0,0,0,0,5187,0
Texas,JimWells,8051,20.1,0,0,0,0,40796,0
Texas,Johnson,16676,9.5,0,1,0,0,171359,1
Texas,Jones,2892,19.5,0,0,0,0,19874,0
Texas,Karnes,2254,17.5,0,0,0,0,15547,0
Texas,Kaufman,12958,9.2,0,1,0,0,129792,1
Texas,Kendall,3233,6.7,0,2,0,0,45491,2
Texas,Kenedy,41,10.8,0,0,0,0,391,0
Texas,Kent,82,11.3,0,0,0,0,704,0
Texas,Kerr,5927,11.6,0,1,0,0,52195,1
Texas,Kimble,687,15.7,0,0,0,0,4375,0
Texas,King,35,12.4,0,0,0,0,279,0
Texas,Kinney,597,17.9,0,0,0,0,3674,0
Texas,Kleberg,6030,20.8,0,0,0,0,30725,0
Texas,Knox,582,16.3,0,0,0,0,3679,0
Texas,LaSalle,1402,24,0,0,0,0,7551,0
Texas,Lamar,9653,19.6,0,1,0,0,49705,1
Texas,Lamb,2200,17.6,0,0,0,0,13018,0
Texas,Lampasas,2159,10,0,0,0,0,21152,0
Texas,Lavaca,2086,10.6,0,0,0,0,20072,0
Texas,Lee,1798,10.6,0,0,0,0,17174,0
Texas,Leon,2395,13.8,0,0,0,0,17325,0
Texas,Liberty,12444,14.4,0,0,0,0,86173,0
Texas,Limestone,3647,16.8,0,1,0,0,23364,1
Texas,Lipscomb,348,11.3,0,0,0,0,3301,0
Texas,LiveOak,1893,17,0,0,0,0,12175,0
Texas,Llano,2384,10.9,0,1,0,0,21452,1
Texas,Loving,7,3.9,0,0,0,0,117,0
Texas,Lubbock,47957,15.8,0,3,0,0,308392,3
Texas,Lynn,860,14.4,0,0,0,0,5886,0
Texas,Madison,2069,17.4,0,0,0,0,14329,0
Texas,Marion,1957,20,0,0,0,0,9987,0
Texas,Martin,643,11.1,0,0,0,0,5676,0
Texas,Mason,424,9.8,0,0,0,0,4248,0
Texas,Matagorda,6286,17.3,0,1,0,0,36791,1
Texas,Maverick,11439,20,0,0,0,0,58098,0
Texas,McCulloch,1243,16.2,0,1,0,0,7970,1
Texas,McLennan,42552,17,0,1,0,0,254045,1
Texas,McMullen,69,9.7,0,0,0,0,724,0
Texas,Medina,5600,11.2,0,0,0,0,50869,0
Texas,Menard,398,19.1,0,0,0,0,2108,0
Texas,Midland,17070,9.7,0,1,0,0,171238,1
Texas,Milam,4208,17.4,0,1,0,0,24797,1
Texas,Mills,675,14.4,0,1,0,0,4877,1
Texas,Mitchell,1259,18.7,0,0,0,0,8256,0
Texas,Montague,2449,12.4,0,1,0,0,19640,1
Texas,Montgomery,51122,8.2,0,4,0,0,590188,4
Texas,Moore,2160,10.6,0,1,0,0,21169,1
Texas,Morris,2085,17,1,0,0,0,12357,-1
Texas,Motley,192,16.3,0,0,0,0,1362,0
Texas,Nacogdoches,11695,19.5,0,1,0,0,65080,1
Texas,Navarro,7383,14.8,0,1,0,0,49475,1
Texas,Newton,2699,21.3,0,0,0,0,13788,0
Texas,Nolan,2480,17.2,0,1,0,0,14901,1
Texas,Nueces,62210,17.5,0,4,1,0,362151,6
Texas,Ochiltree,876,9.2,0,0,0,0,9907,0
Texas,Oldham,264,14,0,0,0,0,2110,0
Texas,Orange,12368,15.1,0,1,0,0,83776,1
Texas,PaloPinto,4023,13.9,0,0,0,0,28792,0
Texas,Panola,3494,15.3,0,0,0,0,23186,0
Texas,Parker,11729,8,1,1,0,0,138447,0
Texas,Parmer,1147,12.2,0,1,0,0,9639,1
Texas,Pecos,2253,16.5,0,0,0,0,15725,0
Texas,Polk,7282,15,0,1,0,0,50155,1
Texas,Potter,22745,20.8,0,2,0,0,118323,2
Texas,Presidio,1261,19.4,0,0,0,0,6808,0
Texas,Rains,1687,13.6,0,0,0,0,12001,0
Texas,Randall,13225,9.6,0,2,0,0,136005,2
Texas,Reagan,316,8.3,0,0,0,0,3766,0
Texas,Real,545,16.4,0,0,0,0,3429,0
Texas,RedRiver,1851,15.7,0,1,0,0,12115,1
Texas,Reeves,2424,19,0,0,0,0,15546,0
Texas,Refugio,1030,15.3,0,0,0,0,7015,0
Texas,Roberts,52,6.4,0,0,0,0,784,0
Texas,Robertson,2414,14.2,0,0,0,0,17094,0
Texas,Rockwall,5214,4.8,0,1,0,0,101175,1
Texas,Runnels,1461,14.3,0,0,0,0,10280,0
Texas,Rusk,6809,14.2,0,0,0,0,53988,0
Texas,Sabine,1664,16,0,0,0,0,10470,0
Texas,San Augustine,1576,19.6,0,0,0,0,8260,0
Texas,San Jacinto,4692,16.1,0,0,0,0,28574,0
Texas,San Patricio,9855,14.8,0,1,0,0,66969,1
Texas,San Saba,932,17.4,0,1,0,0,6004,1
Texas,Schleicher,364,13.2,0,0,0,0,2898,0
Texas,Scurry,2077,13.8,0,0,0,0,16918,0
Texas,Shackelford,410,12.5,0,0,0,0,3291,0
Texas,Shelby,4447,18,0,0,0,0,25263,0
Texas,Sherman,338,11.3,0,0,0,0,3046,0
Texas,Smith,29150,12.7,0,1,0,0,230184,1
Texas,Somervell,743,8.3,0,0,0,0,8958,0
Texas,Starr,15985,25.2,0,0,0,0,64032,0
Texas,Stephens,1349,15.6,0,1,0,0,9358,1
Texas,Sterling,130,10.2,0,0,0,0,1274,0
Texas,Stonewall,189,14.3,0,0,0,0,1412,0
Texas,Sutton,435,11.7,0,0,0,0,3793,0
Texas,Swisher,1310,19.6,0,0,0,0,7403,0
Texas,Tarrant,220041,10.5,0,14,2,0,2077153,18
Texas,Taylor,16436,12.2,0,1,0,0,137521,1
Texas,Terrell,98,14,0,0,0,0,903,0
Texas,Terry,2060,18.5,0,0,0,0,12408,0
Texas,Throckmorton,201,13.5,0,0,0,0,1500,0
Texas,Titus,4630,14.3,1,0,0,0,32709,-1
Texas,Tom Green,13885,12,0,1,0,0,118645,1
Texas,Travis,129969,10.2,1,8,2,0,1250884,11
Texas,Trinity,2477,16.8,0,0,0,0,14689,0
Texas,Tyler,3724,18.9,0,0,0,0,21524,0
Texas,Upshur,5243,12.6,0,1,0,0,41386,1
Texas,Upton,430,12.1,0,0,0,0,3651,0
Texas,Uvalde,4984,19,0,0,0,0,26899,0
Texas,Val Verde,7332,15.6,0,1,0,0,49018,1
Texas,Van Zandt,7302,12.9,0,1,0,0,55970,1
Texas,Victoria,14859,16.5,0,1,0,0,92044,1
Texas,Walker,9987,18,0,1,0,0,72295,1
Texas,Waller,6689,12.6,0,0,0,0,53626,0
Texas,Ward,1170,9.8,0,0,0,0,11745,0
Texas,Washington,3937,11.7,0,1,0,0,35275,1
Texas,Webb,54564,19.9,0,2,0,0,274847,2
Texas,Wharton,5675,13.8,0,0,0,0,41672,0
Texas,Wheeler,662,13.5,0,0,0,0,5187,0
Texas,Wichita,19233,16,0,1,0,0,132154,1
Texas,Wilbarger,1784,14.6,0,1,0,0,12717,1
Texas,Willacy,4393,24.7,0,0,0,0,21419,0
Texas,Williamson,34425,5.6,0,3,0,0,570437,3
Texas,Wilson,4847,9.4,0,0,0,0,50110,0
Texas,Winkler,918,11.8,0,0,0,0,7822,0
Texas,Wise,6982,10,0,1,0,0,67884,1
Texas,Wood,6015,13.5,0,0,0,0,45054,0
Texas,Yoakum,934,10.8,0,0,0,0,8612,0
Texas,Young,2610,14.8,0,1,0,0,17961,1
Texas,Zapata,3471,24.6,0,0,0,0,14243,0
Texas,Zavala,3094,27.2,0,0,0,0,11930,0
Utah,Beaver,514,7.7,0,0,0,0,6594,0
Utah,BoxElder,3817,6.8,0,1,0,0,54953,1
Utah,Cache,11607,9.2,0,1,0,0,126336,1
Utah,Carbon,2590,12.8,1,0,0,0,20401,-1
Utah,Daggett,67,6.5,0,0,0,0,590,0
Utah,Davis,17794,5,0,0,0,0,350761,0
Utah,Duchesne,2076,10.6,0,0,0,0,19950,0
Utah,Emery,938,9.3,0,0,0,0,10099,0
Utah,Garfield,474,9.7,0,0,0,0,5000,0
Utah,Grand,1015,10.4,0,1,0,0,9698,1
Utah,Iron,7593,13.7,0,0,0,0,53148,0
Utah,Juab,926,7.7,0,0,0,0,11623,0
Utah,Kane,690,9,0,0,0,0,7658,0
Utah,Millard,1409,10.7,0,0,0,0,12963,0
Utah,Morgan,460,3.7,0,0,0,0,11950,0
Utah,Piute,219,15.3,0,0,0,0,1870,0
Utah,Rich,205,8.4,0,0,0,0,2415,0
Utah,SaltLake,79980,7,0,1,2,0,1146215,5
Utah,SanJuan,2782,18.6,0,0,0,0,15295,0
Utah,Sanpete,4030,14.1,0,0,0,0,30421,0
Utah,Sevier,2156,10,0,0,0,0,21475,0
Utah,Summit,1922,4.5,0,1,0,0,41680,1
Utah,Tooele,4224,5.7,0,0,0,0,69740,0
Utah,Uintah,3853,10.8,0,0,0,0,35736,0
Utah,Utah,49771,7.8,0,0,0,0,621506,0
Utah,Wasatch,1636,4.7,0,0,0,0,33053,0
Utah,Washington,12615,6.9,0,1,0,0,172127,1
Utah,Wayne,310,11.2,0,0,0,0,2698,0
Utah,Weber,18994,7.3,0,1,0,0,255284,1
Vermont,Addison,2865,8.4,0,0,0,0,36947,0
Vermont,Bennington,3536,10.4,0,1,0,1,35649,4
Vermont,Caledonia,3145,11,0,0,0,0,30027,0
Vermont,Chittenden,13194,8.5,0,1,0,2,163414,7
Vermont,Essex,775,12.7,0,0,0,0,6179,0
Vermont,Franklin,4345,8.9,0,0,0,0,49275,0
Vermont,GrandIsle,528,7.4,0,0,0,0,7075,0
Vermont,Lamoille,1990,8.1,0,0,0,0,25376,0
Vermont,Orange,2722,9.6,0,0,0,0,28873,0
Vermont,Orleans,2765,10.6,0,0,0,0,26843,0
Vermont,Rutland,6659,12,0,1,0,1,58527,4
Vermont,Washington,4454,8,0,0,0,1,58336,3
Vermont,Windham,4619,11.3,0,0,0,0,42628,0
Vermont,Windsor,4683,8.6,0,0,0,1,55191,3
Virginia,Accomack,5617,17.6,0,1,0,0,32560,1
Virginia,Albemarle,6602,6.3,0,0,0,2,108819,6
Virginia,Alexandria City,12537,8,0,1,0,0,158309,1
Virginia,Alleghany,1681,11.7,0,0,0,0,15030,0
Virginia,Amelia,1155,9,1,0,0,0,12970,-1
Virginia,Amherst,3435,11.2,0,0,0,0,31782,0
Virginia,Appomattox,2010,12.6,1,0,0,0,15814,-1
Virginia,Arlington,14273,6,0,1,0,2,236434,7
Virginia,Augusta,6074,8.3,0,0,0,0,75754,0
Virginia,Bath,455,11.2,0,0,0,0,4248,0
Virginia,Bedford,5417,6.8,0,1,0,0,78965,1
Virginia,Bland,674,12.1,0,0,0,0,6334,0
Virginia,Botetourt,2193,6.6,0,0,0,0,33440,0
Virginia,Bristolcity,2948,17.2,0,0,0,0,17059,0
Virginia,Brunswick,2785,20.2,0,0,0,0,16336,0
Virginia,Buchanan,4642,23.7,0,0,0,0,21374,0
Virginia,Buckingham,2519,16.8,1,0,0,0,17087,-1
Virginia,Buena Vista City,824,14,0,0,0,0,6477,0
Virginia,Campbell,4874,8.9,0,1,0,0,55406,1
Virginia,Caroline,2950,9.8,0,0,0,0,30581,0
Virginia,Carroll,3945,13.2,0,0,0,0,29911,0
Virginia,Charles City,676,9.9,0,0,0,0,6965,0
Virginia,Charlotte,2001,17.2,0,0,0,0,11953,0
Virginia,Charlottesville City,7088,15.8,0,1,0,0,47217,1
Virginia,Chesapeake City,18288,7.6,0,1,0,0,242647,1
Virginia,Chesterfield,23305,6.6,0,1,0,0,348500,1
Virginia,Clarke,894,6.2,0,0,0,0,14498,0
Virginia,Colonial Heights City,1483,8.7,0,0,0,0,17283,0
Virginia,Covington City,817,14.8,0,0,0,0,5653,0
Virginia,Craig,525,10.4,0,0,0,0,5103,0
Virginia,Culpeper,4415,8.5,0,1,0,0,51935,1
Virginia,Cumberland,1337,13.5,0,0,0,0,9869,0
Virginia,Danville City,8468,22.1,0,1,0,0,40668,1
Virginia,Dickenson,2615,19.3,0,0,0,0,14524,0
Virginia,Dinwiddie,3117,11.1,0,0,0,0,28686,0
Virginia,Emporia City,959,19.1,0,0,0,0,5408,0
Virginia,Essex,1325,12.3,0,0,0,0,10960,0
Virginia,Fairfax,59990,5.3,0,5,0,1,1149439,8
Virginia,Fairfax City,1639,7.2,0,0,0,0,23312,0
Virginia,Falls Church City,488,3.3,0,1,0,0,14309,1
Virginia,Fauquier,4270,6,0,1,0,0,70353,1
Virginia,Floyd,1708,10.9,0,0,0,0,15766,0
Virginia,Fluvanna,1768,6.8,0,0,0,0,26873,0
Virginia,Franklin,6320,11.5,0,0,0,0,56231,0
Virginia,Franklin City,1392,18.1,0,0,0,0,8015,0
Virginia,Frederick,6658,7.4,0,0,0,0,88054,0
Virginia,Fredericksburg City,3279,12.2,0,2,0,0,29059,2
Virginia,Galaxcity,1125,18.8,0,1,0,0,6402,1
Virginia,Giles,1757,10.7,0,0,0,0,16760,0
Virginia,Gloucester,2931,7.9,0,0,0,0,37362,0
Virginia,Goochland,1351,5.8,0,0,0,0,23472,0
Virginia,Grayson,2346,16.2,0,0,0,0,15651,0
Virginia,Greene,1606,8.1,0,0,0,0,19734,0
Virginia,Greensville,1683,21.5,0,0,0,0,11403,0
Virginia,Halifax,5854,17.8,0,0,0,0,34295,0
Virginia,Hampton City,17494,13.4,0,0,0,0,135169,0
Virginia,Hanover,5266,5,0,0,0,0,106538,0
Virginia,Harrisonburg City,10113,22.2,0,1,0,0,53558,1
Virginia,Henrico,27328,8.3,0,1,0,0,330076,1
Virginia,Henry,6385,12.9,0,0,0,0,51032,0
Virginia,Highland,267,12.2,0,0,0,0,2202,0
Virginia,Hopewell City,3823,17.4,0,0,0,0,22500,0
Virginia,Isle of Wight,2845,7.6,0,0,0,0,37107,0
Virginia,James City,4937,6.5,0,1,0,0,76032,1
Virginia,King and Queen,767,11.1,0,0,0,0,7011,0
Virginia,King George,1611,6,0,0,0,0,26679,0
Virginia,King William,1083,6.2,0,0,0,0,16985,0
Virginia,Lancaster,1078,10.3,0,0,0,0,10686,0
Virginia,Lee,5667,26,0,0,0,0,23723,0
Virginia,Lexington City,838,18.5,0,1,0,0,7205,1
Virginia,Loudoun,13241,3.2,0,2,0,0,405312,2
Virginia,Louisa,3014,7.9,0,0,0,0,36654,0
Virginia,Lunenburg,1847,16.5,0,0,0,0,12294,0
Virginia,Lynchburg City,10926,15.5,0,0,0,0,80970,0
Virginia,Madison,1241,9.4,0,0,0,0,13208,0
Virginia,Manassas City,3196,7.9,0,1,0,0,41038,1
Virginia,Manassas Park City,1194,6.7,0,0,0,0,17548,0
Virginia,Martinsville City,2556,21.3,0,1,0,0,12646,1
Virginia,Mathews,738,8.5,0,0,0,0,8760,0
Virginia,Mecklenburg,4572,15.4,0,1,0,0,30726,1
Virginia,Middlesex,1181,11.6,0,0,0,0,10642,0
Virginia,Montgomery,17059,19.3,0,1,0,0,98495,1
Virginia,Nelson,1571,10.7,0,0,0,0,14812,0
Virginia,NewKent,1071,4.6,0,0,0,0,22310,0
Virginia,NewportNews City,24839,14.5,0,0,0,0,179582,0
Virginia,Norfolk City,36765,17.6,0,2,0,0,244300,2
Virginia,Northampton,1854,16.2,0,0,0,0,11826,0
