State,County,Poverty Estimate,Poverty Percent,No Service,Few Services,Restricted Services,Full Service,Population
Michigan,Cass,5677,11.1,0,0,0,0,51613
Michigan,Charlevoix,2245,8.7,0,0,0,0,26197
Michigan,Cheboygan,3166,12.7,0,1,0,0,25435
Michigan,Chippewa,4486,13.9,0,1,0,0,37418
Michigan,Clare,5467,18.0,0,0,0,0,30655
Michigan,Clinton,6220,7.9,0,1,0,0,78957
Michigan,Crawford,1869,13.6,0,0,0,0,13904
Michigan,Delta,3942,11.3,1,0,0,0,35874
Michigan,Dickinson,2386,9.7,1,0,0,0,25373
Michigan,Eaton,8409,7.8,0,0,0,0,109730
Michigan,Emmet,2858,8.7,0,1,0,0,33175
Michigan,Genesee,73344,18.3,2,3,0,2,406770
Michigan,Gladwin,4158,16.6,0,0,0,0,25312
Michigan,Gogebic,1683,12.5,1,0,0,0,14715
Michigan,Grand Traverse,8019,8.7,1,1,0,1,92640
Michigan,Gratiot,4787,13.7,0,1,0,0,40692
Michigan,Hillsdale,5577,12.6,1,0,0,0,45707
Michigan,Houghton,4873,15.0,1,0,0,0,35890
Michigan,Huron,3500,11.6,1,0,0,0,31105
Michigan,Ingham,37873,13.8,0,2,0,2,290923
Michigan,Ionia,5727,9.6,1,2,0,0,64401
Michigan,Iosco,3420,13.8,1,0,0,0,25213
Michigan,Iron,1527,14.2,0,0,0,0,11099
Michigan,Isabella,11258,17.4,0,1,0,0,70363
Michigan,Jackson,18835,12.6,0,2,0,0,158174
Michigan,Kalamazoo,30871,12.0,0,1,0,1,264322
Michigan,Kalkaska,2147,12.0,0,0,0,0,17725
Michigan,Kent,71769,11.1,1,5,0,2,652617
Michigan,Keweenaw,237,11.2,0,0,0,0,2102
Michigan,Lake,2206,19.2,0,0,0,0,11805
Michigan,Lapeer,7082,8.2,0,1,0,0,87975
Michigan,Leelanau,1604,7.4,0,0,0,0,21649
Michigan,Lenawee,8860,9.5,0,1,0,0,98310
Michigan,Livingston,10151,5.3,0,1,0,0,190832
Michigan,Luce,965,19.1,0,0,0,0,6286
Michigan,Mackinac,1343,12.5,0,0,0,0,10781
Michigan,Macomb,79269,9.2,0,3,0,4,870893
Michigan,Manistee,2898,12.4,1,0,0,0,24539
Michigan,Marquette,8458,13.6,0,3,0,1,66403
Michigan,Mason,3531,12.3,2,0,0,0,29062
Michigan,Mecosta,5505,13.6,1,1,0,0,43481
Michigan,Menominee,2526,11.4,0,0,0,0,22902
Michigan,Midland,8319,10.1,0,1,0,0,83445
Michigan,Missaukee,1892,12.6,0,0,0,0,15075
Michigan,Monroe,14444,9.7,0,2,0,0,150000
Michigan,Montcalm,7926,13.1,1,1,0,0,63516
Michigan,Montmorency,1425,15.5,0,0,0,0,9270
Michigan,Muskegon,20887,12.3,1,1,0,0,173679
Michigan,Newaygo,6001,12.3,2,0,0,0,48687
Michigan,Oakland,97171,7.8,2,5,0,4,1255340
Michigan,Oceana,3530,13.3,1,0,0,0,26545
Michigan,Ogemaw,3104,15.1,0,1,0,0,20895
Michigan,Ontonagon,821,14.7,0,0,0,0,5802
Michigan,Osceola,3274,14.2,0,0,0,0,23323
Michigan,Oscoda,1291,15.5,1,0,0,0,8282
Michigan,Otsego,2278,9.3,0,0,0,0,24613
Michigan,Ottawa,19048,6.7,1,3,0,0,289162
Michigan,PresqueIsle,1634,13.1,0,0,0,0,12687
Michigan,Roscommon,3755,15.8,0,0,0,0,23863
Michigan,Saginaw,29160,15.9,1,1,0,1,191166
Michigan,Sanilac,6174,15.3,0,0,0,0,41179
Michigan,Schoolcraft,950,11.9,0,0,0,0,8031
Michigan,Shiawassee,7772,11.6,0,1,0,0,68176
Michigan,St. Clair,19531,12.4,0,0,0,0,159285
Michigan,St. Joseph,7826,13.0,0,0,0,0,60789
Michigan,Tuscola,5862,11.4,1,0,0,0,52683
Michigan,Van Buren,10501,14.1,0,0,0,0,75416
Michigan,Washtenaw,41374,12.0,0,2,0,1,368385
Michigan,Wayne,344282,20.0,4,5,0,5,1753059
Michigan,Wexford,3809,11.4,0,1,0,0,33433
Minnesota,Aitkin,1738,11.1,0,0,0,0,15826
Minnesota,Anoka,25261,7.1,2,2,0,0,353775
Minnesota,Becker,3857,11.4,0,1,0,0,34227
Minnesota,Beltrami,5488,12.1,0,1,0,0,46784
Minnesota,Benton,2798,6.9,0,0,0,0,40476
Minnesota,Big Stone,521,10.9,0,0,0,0,4974
Minnesota,Blue Earth,7131,11.0,1,1,0,0,67368
Minnesota,Brown,1611,6.8,0,1,0,0,25076
Minnesota,Carlton,2962,8.7,0,0,0,0,35709
Minnesota,Carver,3731,3.5,0,0,0,0,103561
Minnesota,Cass,3740,12.6,1,0,0,0,29462
Minnesota,Chippewa,1075,9.3,0,0,0,0,11876
Minnesota,Chisago,3505,6.3,0,1,0,0,55844
Minnesota,Clay,5439,8.8,1,0,0,0,64029
Minnesota,Clearwater,1139,12.8,0,0,0,0,8872
Minnesota,Cook,464,8.7,0,0,0,0,5402
Minnesota,Cottonwood,1239,11.2,0,0,0,0,11279
Minnesota,Crow Wing,5549,8.5,2,0,0,0,64775
Minnesota,Dakota,20759,4.8,0,4,0,0,425271
Minnesota,Dodge,1237,5.9,0,0,0,0,20807
Minnesota,Douglas,2814,7.4,1,0,0,0,37820
Minnesota,Faribault,1361,10.3,0,0,0,0,13727
Minnesota,Fillmore,1704,8.2,0,0,0,0,21031
Minnesota,Freeborn,2988,10.0,0,0,0,0,30465
Minnesota,Goodhue,3277,7.2,0,1,0,0,46330
Minnesota,Grant,551,9.3,0,0,0,0,5962
Minnesota,Hennepin,115824,9.3,1,6,0,3,1255296
Minnesota,Houston,1174,6.4,0,0,0,0,18670
Minnesota,Hubbard,1972,9.1,2,0,0,0,21287
Minnesota,Isanti,2731,6.7,0,1,0,0,40004
Minnesota,Itasca,4634,10.5,0,1,0,0,45180
Minnesota,Jackson,735,7.6,0,0,0,0,9873
Minnesota,Kanabec,1481,9.1,1,0,0,0,16205
Minnesota,Kandiyohi,3459,8.2,0,1,0,0,42909
Minnesota,Kittson,421,10.3,0,0,0,0,4272
Minnesota,Koochiching,1369,11.6,0,1,0,0,12355
Minnesota,Lacqui Parle,545,8.6,0,0,0,0,6645
Minnesota,Lake,841,8.0,0,0,0,0,10571
Minnesota,Lake of the Woods,325,8.8,0,0,0,0,3747
Minnesota,LeSueur,1895,6.7,0,0,0,0,28425
Minnesota,Lincoln,474,8.7,0,0,0,0,5641
Minnesota,Lyon,2152,8.8,1,0,0,0,25696
Minnesota,Mahnomen,824,15.3,0,0,0,0,5508
Minnesota,Marshall,729,7.9,0,0,0,0,9353
Minnesota,Martin,1898,9.9,1,0,0,0,19737
Minnesota,McLeod,2034,5.8,1,0,0,0,35788
Minnesota,Meeker,1429,6.2,0,0,0,0,23149
Minnesota,Mille Lacs,2361,9.2,0,2,0,0,25963
Minnesota,Morrison,3212,9.8,0,0,0,0,33119
Minnesota,Mower,3457,8.7,1,0,0,0,39931
Minnesota,Murray,612,7.6,0,0,0,0,8247
Minnesota,Nicollet,2315,7.2,0,0,0,0,34176
Minnesota,Nobles,1981,9.4,1,0,0,0,21667
Minnesota,Norman,647,10.5,0,0,0,0,6466
Minnesota,Olmsted,10052,6.4,1,1,0,0,156446
Minnesota,Otter Tail,4503,7.8,0,1,0,0,58416
Minnesota,Pennington,1104,8.2,0,1,0,0,14110
Minnesota,Pine,2842,10.2,1,1,0,0,29254
Minnesota,Pipestone,823,9.2,0,0,0,0,9163
Minnesota,Polk,3153,10.6,0,0,0,0,31384
Minnesota,Pope,877,7.9,0,0,0,0,11107
Minnesota,Ramsey,66975,12.6,2,4,0,1,546598
Minnesota,RedLake,331,8.3,0,0,0,0,4005
Minnesota,Redwood,1266,8.6,1,0,0,0,15193
Minnesota,Renville,1213,8.6,0,0,0,0,14572
Minnesota,Rice,5051,8.4,0,2,0,0,66549
Minnesota,Rock,742,8.2,0,0,0,0,9386
Minnesota,Roseau,1087,7.3,1,0,0,0,15259
Minnesota,Scott,6383,4.3,0,0,0,0,147201
Minnesota,Sherburne,4279,4.4,1,0,0,0,96015
Minnesota,Sibley,1154,7.9,0,0,0,0,14871
Minnesota,St.Louis,19339,10.1,0,0,0,1,199499
Minnesota,Stearns,16574,10.6,0,4,0,0,159788
Minnesota,Steele,2622,7.3,0,0,0,0,36710
Minnesota,Stevens,808,9.1,1,0,0,0,9770
Minnesota,Swift,854,9.5,0,0,0,0,9329
Minnesota,Todd,2974,12.2,0,1,0,0,24603
Minnesota,Traverse,361,11.6,0,0,0,0,3282
Minnesota,Wabasha,1312,6.1,0,0,0,0,21564
Minnesota,Wadena,1501,11.2,0,0,0,0,13681
Minnesota,Waseca,1337,7.6,0,0,0,0,18658
Minnesota,Washington,11461,4.4,0,3,0,0,259072
Minnesota,Watonwan,1032,9.7,0,0,0,0,10903
Minnesota,Wilkin,496,8.3,0,0,0,0,6264
Minnesota,Winona,5125,11.0,1,0,0,0,50744
Minnesota,Wright,6393,4.6,0,1,0,0,136387
Minnesota,Yellow Medicine,807,8.6,0,0,0,0,9775
Mississippi,Adams,7589,27.2,0,0,0,0,31103
Mississippi,Alcorn,6127,17.0,0,1,0,0,37058
Mississippi,Amite,2611,21.7,0,0,0,0,12341
Mississippi,Attala,3309,18.8,0,0,0,0,18308
Mississippi,Benton,1635,19.8,0,0,0,0,8275
Mississippi,Bolivar,8059,28.1,0,1,0,0,31253
Mississippi,Calhoun,2401,17.1,0,0,0,0,14417
Mississippi,Carroll,1457,15.6,0,0,0,0,9972
Mississippi,Chickasaw,4068,24.8,0,0,0,0,17060
Mississippi,Choctaw,1490,18.7,0,0,0,0,8206
Mississippi,Claiborne,2589,34.1,0,0,0,0,9042
Mississippi,Clarke,2914,19.2,0,0,0,0,15612
Mississippi,Clay,4081,21.5,0,0,0,0,19515
Mississippi,Coahoma,8260,39.6,1,0,0,0,22685
Mississippi,Copiah,6110,22.5,0,0,0,0,28339
Mississippi,Covington,3693,20.3,0,0,0,0,18810
Mississippi,DeSoto,17653,9.5,0,0,0,0,182256
Mississippi,Forrest,17991,24.9,1,0,0,0,75162
Mississippi,Franklin,1616,21.4,0,0,0,0,7716
Mississippi,George,4224,17.8,0,0,0,0,24098
Mississippi,Greene,2325,21.4,0,0,0,0,13619
Mississippi,Grenada,4351,21.4,0,0,0,0,20927
Mississippi,Hancock,7428,15.6,0,0,0,0,47339
Mississippi,Harrison,34186,16.8,0,1,0,0,206169
Mississippi,Hinds,56977,25.9,0,0,1,0,235604
Mississippi,Holmes,5458,34.5,0,0,0,0,17414
Mississippi,Humphreys,2567,33.3,0,0,0,0,8198
Mississippi,Issaquena,407,43.3,0,0,0,0,1223
Mississippi,Itawamba,3093,13.9,0,0,0,0,23396
Mississippi,Jackson,19105,13.4,0,1,0,0,142872
Mississippi,Jasper,3128,19.3,0,0,0,0,16454
Mississippi,Jefferson,2035,30.8,0,0,0,0,7129
Mississippi,Jefferson Davis,2713,25.2,0,0,0,0,11182
Mississippi,Jones,12434,18.8,0,1,0,0,68307
Mississippi,Kemper,2189,25.2,0,0,0,0,9829
Mississippi,Lafayette,8771,17.6,0,1,0,0,54059
Mississippi,Lamar,8012,12.6,0,1,0,0,62693
Mississippi,Lauderdale,15725,22.5,0,1,0,0,75557
Mississippi,Lawrence,2369,19.1,1,0,0,0,12595
Mississippi,Leake,4407,21.0,0,0,0,0,22791
Mississippi,Lee,11194,13.3,0,1,0,0,85304
Mississippi,Leflore,6738,25.3,0,0,0,0,28764
Mississippi,Lincoln,6229,18.7,0,0,0,0,34197
Mississippi,Lowndes,9367,16.5,0,1,0,0,58896
Mississippi,Madison,13273,12.6,1,0,0,0,105482
Mississippi,Marion,4532,19.2,0,0,0,0,24785
Mississippi,Marshall,7581,22.7,0,1,0,0,35502
Mississippi,Monroe,6052,17.5,1,0,0,0,35559
Mississippi,Montgomery,2017,21.2,0,0,0,0,9956
Mississippi,Neshoba,5395,18.9,1,0,0,0,29250
Mississippi,Newton,3302,16.3,0,0,0,0,21215
Mississippi,Noxubee,2628,26.2,0,0,0,0,10566
Mississippi,Oktibbeha,10550,23.5,0,1,0,0,49593
Mississippi,Panola,7037,21.0,1,0,0,0,34079
Mississippi,Pearl River,8624,15.8,0,1,0,0,55512
Mississippi,Perry,2128,18.1,0,0,0,0,11981
Mississippi,Pike,10068,26.5,1,0,0,0,39365
Mississippi,Pontotoc,4113,12.8,0,1,0,0,31996
Mississippi,Prentiss,3995,16.5,0,0,0,0,25155
Mississippi,Quitman,1969,29.9,0,0,0,0,7038
Mississippi,Rankin,14967,10.0,0,0,0,0,154119
Mississippi,Scott,5077,18.3,0,1,0,0,28288
Mississippi,Sharkey,1237,30.3,0,0,0,0,4427
Mississippi,Simpson,5532,21.2,0,0,0,0,26818
Mississippi,Smith,2515,16.1,0,0,0,0,15919
Mississippi,Stone,2963,17.4,0,0,0,0,18282
Mississippi,Sunflower,7178,34.8,0,0,0,0,25759
Mississippi,Tallahatchie,3583,32.0,0,0,0,0,14041
Mississippi,Tate,3842,14.0,0,1,0,0,28419
Mississippi,Tippah,3515,16.5,0,1,0,0,21976
Mississippi,Tishomingo,2758,14.6,0,0,0,0,19396
Mississippi,Tunica,2471,26.7,0,0,0,0,9807
Mississippi,Union,3845,13.5,0,1,0,0,28578
Mississippi,Walthall,3324,23.5,0,0,0,0,14423
Mississippi,Warren,8497,19.2,0,1,0,0,46030
Mississippi,Washington,11652,27.7,0,0,0,0,45072
Mississippi,Wayne,4454,22.1,0,0,0,0,20344
Mississippi,Webster,1501,15.7,0,0,0,0,9727
Mississippi,Wilkinson,2065,28.4,0,0,0,0,8727
Mississippi,Winston,3784,21.8,0,0,0,0,18116
Mississippi,Yalobusha,2495,21.2,0,0,0,0,12276
Mississippi,Yazoo,6931,31.0,0,0,0,0,28511
Missouri,Adair,4026,17.9,0,1,0,0,25468
Missouri,Andrew,1586,9.1,0,0,0,0,17554
Missouri,Atchison,600,12.0,0,0,0,0,5180
Missouri,Audrain,4132,17.8,0,0,0,0,25336
Missouri,Barry,5675,16.0,0,0,0,0,35615
Missouri,Barton,1898,16.6,0,0,0,0,11732
Missouri,Bates,2351,14.8,0,0,0,0,16282
Missouri,Benton,3260,16.8,1,0,0,0,19305
Missouri,Bollinger,1955,16.3,0,0,0,0,12181
Missouri,Boone,22178,12.8,0,1,1,0,179704
Missouri,Buchanan,10789,13.1,1,1,0,0,87904
Missouri,Butler,8777,21.2,0,0,0,0,42570
Missouri,Caldwell,1096,12.4,0,0,0,0,9052
Missouri,Callaway,4693,11.4,0,0,0,0,44944
Missouri,Camden,6407,14.0,0,1,0,0,45823
Missouri,Cape Girardeau,9009,11.9,1,1,0,0,78834
Missouri,Carroll,1130,13.4,0,0,0,0,8723
Missouri,Carter,1205,20.3,0,0,0,0,6085
Missouri,Cass,7182,6.8,0,1,0,0,104687
Missouri,Cedar,2603,18.5,0,0,0,0,14144
Missouri,Chariton,854,12.0,1,0,0,0,7449
Missouri,Christian,7933,8.8,0,0,0,0,87324
Missouri,Clark,827,12.3,0,0,0,0,6783
Missouri,Clay,19299,7.7,0,2,0,0,246480
Missouri,Clinton,1902,9.5,0,1,0,0,20503
Missouri,Cole,6649,9.3,1,1,0,0,76630
Missouri,Cooper,2189,13.6,0,0,0,0,17522
Missouri,Crawford,3805,16.3,0,1,0,0,23984
Missouri,Dade,1043,14.1,0,0,0,0,7571
Missouri,Dallas,4092,24.1,0,0,0,0,16841
Missouri,Daviess,1141,14.1,0,0,0,0,8294
Missouri,DeKalb,1162,12.8,0,0,0,0,11872
Missouri,Dent,2309,15.1,0,1,0,0,15518
Missouri,Douglas,2349,17.8,0,1,0,0,13335
Missouri,Dunklin,5682,20.2,0,0,0,0,29657
Missouri,Franklin,9353,9.1,1,0,0,0,103629
Missouri,Gasconade,1602,11.2,1,0,0,0,14673
Missouri,Gentry,821,13.0,0,0,0,0,6576
Missouri,Greene,40491,14.3,0,2,0,0,291574
Missouri,Grundy,1398,15.1,0,0,0,0,9885
Missouri,Harrison,1455,17.8,0,0,0,0,8427
Missouri,Henry,2960,13.6,0,1,0,0,21854
Missouri,Hickory,1862,19.6,0,0,0,0,9452
Missouri,Holt,501,12.2,0,0,0,0,4374
Missouri,Howard,1181,12.7,0,0,0,0,10022
Missouri,Howell,7285,18.4,0,0,0,0,40130
Missouri,Iron,1913,19.5,0,0,0,0,10150
Missouri,Jackson,86479,12.4,1,3,1,0,700733
Missouri,Jasper,18117,15.2,0,2,0,0,120528
Missouri,Jefferson,19991,8.9,1,2,0,0,224777
Missouri,Johnson,5453,10.8,0,1,0,0,53948
Missouri,Knox,548,14.2,0,0,0,0,3948
Missouri,Laclede,5778,16.3,0,1,0,0,35680
Missouri,Lafayette,3352,10.4,0,0,0,0,32697
Missouri,Lawrence,5712,15.2,0,1,0,0,38241
Missouri,Lewis,1307,14.4,0,0,0,0,9898
Missouri,Lincoln,5604,9.4,0,1,0,0,57590
Missouri,Linn,1707,14.7,0,0,0,0,12004
Missouri,Livingston,1684,12.8,1,0,0,0,14969
Missouri,Macon,1912,13.0,1,0,0,0,15154
Missouri,Madison,1935,16.3,0,0,0,0,12176
Missouri,Maries,1121,12.9,0,0,0,0,8791
Missouri,Marion,3890,14.3,1,0,0,0,28572
Missouri,McDonald,3996,17.6,0,0,0,0,22882
Missouri,Mercer,477,13.6,0,0,0,0,3623
Missouri,Miller,3542,13.9,0,0,0,0,25369
Missouri,Mississippi,2148,19.1,0,0,0,0,13328
Missouri,Moniteau,1699,11.6,0,0,0,0,15907
Missouri,Monroe,1115,13.0,0,0,0,0,8630
Missouri,Montgomery,1415,13.0,1,0,0,0,11414
Missouri,Morgan,3061,15.0,0,0,0,0,20438
Missouri,New Madrid,3080,18.9,0,0,0,0,17275
Missouri,Newton,7978,13.9,0,1,0,0,58288
Missouri,Nodaway,2785,15.2,0,1,0,0,22199
Missouri,Oregon,2249,22.0,0,0,0,0,10561
Missouri,Osage,1115,8.5,0,0,0,0,13613
Missouri,Ozark,1828,20.3,0,0,0,0,9138
Missouri,Pemiscot,5429,35.3,0,0,0,0,16330
Missouri,Perry,2212,11.7,0,1,0,0,19227
Missouri,Pettis,6452,15.5,1,0,0,0,42421
Missouri,Phelps,7249,17.5,0,1,0,0,44587
Missouri,Pike,2384,14.9,0,1,0,0,18158
Missouri,Platte,5704,5.4,0,1,0,0,102848
Missouri,Polk,4830,15.6,0,1,0,0,32031
Missouri,Pulaski,5311,12.5,0,1,0,0,52359
Missouri,Putnam,702,15.2,0,0,0,0,4746
Missouri,Ralls,1167,11.4,0,0,0,0,10258
Missouri,Randolph,2676,12.1,1,0,0,0,24769
Missouri,Ray,2261,10.0,0,1,0,0,22900
Missouri,Reynolds,1177,19.4,0,0,0,0,6274
Missouri,Ripley,2808,21.3,0,0,0,0,13484
Missouri,Saline,2807,13.1,0,0,0,0,22932
Missouri,Schuyler,675,15.2,0,0,0,0,4550
Missouri,Scotland,683,14.3,0,0,0,0,4923
Missouri,Scott,5488,14.6,0,1,0,0,38538
Missouri,Shannon,1771,21.8,0,0,0,0,8207
Missouri,Shelby,834,14.6,0,0,0,0,5975
Missouri,St. Charles,20179,5.0,0,0,0,0,398472
Missouri,St. Clair,1770,18.7,0,0,0,0,9455
Missouri,St. Francois,9762,16.2,0,0,0,0,66653
Missouri,St. Louis,88893,9.1,0,0,1,0,996179
Missouri,St. Louis City,59993,20.8,0,0,0,0,304709
Missouri,Ste. Genevieve,1582,9.0,0,0,0,0,17887
Missouri,Stoddard,4787,16.8,0,0,0,0,29255
Missouri,Stone,4573,14.2,0,1,0,0,31875
Missouri,Sullivan,927,15.6,0,0,0,0,6163
Missouri,Taney,8497,15.6,0,1,0,0,55563
Missouri,Texas,4744,20.3,0,1,0,0,25518
Missouri,Vernon,2933,15.0,0,1,0,0,20560
Missouri,Warren,3277,9.0,0,1,0,0,35090
Missouri,Washington,4559,19.4,0,1,0,0,24819
Missouri,Wayne,2927,23.2,0,0,0,0,13058
Missouri,Webster,5847,15.0,0,1,0,0,39127
Missouri,Worth,262,13.8,0,0,0,0,2001
Missouri,Wright,3296,18.3,0,1,0,0,18256
Montana,Beaverhead,1200,13.3,0,1,0,0,9454
Montana,Big Horn,3734,28.9,0,0,0,0,13302
Montana,Blaine,1358,20.9,0,0,0,0,6698
Montana,Broadwater,579,9.1,0,0,0,0,6080
Montana,Carbon,1212,11.2,0,0,0,0,10689
Montana,Carter,179,14.7,0,0,0,0,1305
Montana,Cascade,10727,13.5,0,1,0,1,81576
Montana,Chouteau,851,15.1,0,0,0,0,5731
Montana,Custer,1248,11.5,0,1,0,0,11563
Montana,Daniels,179,11.2,0,0,0,0,1705
Montana,Dawson,875,10.8,0,0,0,0,8824
Montana,Deer Lodge,1529,17.9,0,0,0,0,9153
Montana,Fallon,262,9.4,0,0,0,0,2975
Montana,Fergus,1469,13.6,0,0,0,0,11167
Montana,Flathead,11014,10.5,0,1,0,0,102001
Montana,Gallatin,9972,8.8,0,2,0,0,111401
Montana,Garfield,190,15.0,0,0,0,0,1051
Montana,Glacier,3238,24.3,0,0,0,0,13706
Montana,Golden Valley,150,18.6,0,0,0,0,814
Montana,Granite,418,12.7,0,0,0,0,3325
Montana,Hill,3024,18.9,1,0,0,0,16422
Montana,Jefferson,815,6.7,0,0,0,0,12069
Montana,Judith Basin,313,15.7,0,0,0,0,1968
Montana,Lake,5612,18.3,0,0,0,0,30383
Montana,Lewis and Clark,6994,10.2,0,1,0,1,68714
Montana,Liberty,435,19.0,0,0,0,0,2455
Montana,Lincoln,3598,17.9,1,0,0,0,19845
Montana,Madison,878,9.9,0,0,0,0,8530
Montana,McCone,236,14.5,0,0,0,0,1826
Montana,Meagher,295,16.6,0,0,0,0,1795
Montana,Mineral,672,14.9,0,0,0,0,4330
Montana,Missoula,14029,11.8,0,2,0,1,119062
Montana,Musselshell,712,15.4,0,0,0,0,4682
Montana,Park,1820,10.9,0,0,0,0,16513
Montana,Petroleum,75,15.0,0,0,0,0,464
Montana,Phillips,576,14.9,0,0,0,0,4032
Montana,Pondera,1043,18.5,0,0,0,0,5911
Montana,Powder River,206,12.6,0,0,0,0,1634
Montana,Powell,843,16.5,0,0,0,0,6843
Montana,Prairie,133,12.8,0,0,0,0,1162
Montana,Ravalli,5075,11.3,1,0,0,0,43424
Montana,Richland,882,8.0,0,1,0,0,11097
Montana,Roosevelt,2572,23.8,0,0,0,0,11091
Montana,Rosebud,1535,17.5,0,0,0,0,9065
Montana,Sanders,1955,16.3,0,0,0,0,11804
Montana,Sheridan,376,11.8,0,0,0,0,3389
Montana,Silver Bow,4528,13.2,0,1,0,0,34895
Montana,Stillwater,766,7.8,0,0,0,0,9562
Montana,Sweet Grass,338,9.3,0,0,0,0,3676
Montana,Teton,755,12.4,0,0,0,0,6127
Montana,Toole,642,15.8,0,0,0,0,4812
Montana,Treasure,87,12.5,0,0,0,0,614
Montana,Valley,972,13.4,0,0,0,0,7424
Montana,Wheatland,440,20.9,0,0,0,0,2138
Montana,Wibaux,107,11.7,0,0,0,0,1037
Montana,Yellowstone,16988,10.6,0,2,0,2,160390
Nebraska,Adams,3062,10.2,0,1,0,0,31541
Nebraska,Antelope,647,10.4,0,0,0,0,6315
Nebraska,Arthur,57,12.3,0,0,0,0,439
Nebraska,Banner,79,10.1,0,0,0,0,645
Nebraska,Blaine,61,13.3,0,0,0,0,467
Nebraska,Boone,435,8.7,0,0,0,0,5228
Nebraska,Box Butte,1002,9.5,0,0,0,0,10845
Nebraska,Boyd,235,12.9,0,0,0,0,1882
Nebraska,Brown,317,10.8,0,0,0,0,2887
Nebraska,Buffalo,4525,9.5,0,1,0,0,49594
Nebraska,Burt,731,11.5,0,0,0,0,6503
Nebraska,Butler,582,7.5,0,0,0,0,7997
Nebraska,Cass,1538,5.9,0,0,0,0,26022
Nebraska,Cedar,703,8.5,0,0,0,0,8483
Nebraska,Chase,309,8.2,0,0,0,0,3707
Nebraska,Cherry,649,11.4,0,0,0,0,5801
Nebraska,Cheyenne,905,10.0,0,0,0,0,9428
Nebraska,Clay,556,9.1,0,0,0,0,6193
Nebraska,Colfax,863,8.2,0,0,0,0,10681
Nebraska,Cuming,681,7.9,0,0,0,0,8882
Nebraska,Custer,1027,9.8,0,0,0,0,10788
Nebraska,Dakota,1952,9.9,0,0,0,0,20124
Nebraska,Dawes,1120,14.7,1,0,0,0,8685
Nebraska,Dawson,1980,8.6,0,0,0,0,23638
Nebraska,Deuel,184,10.3,0,0,0,0,1770
Nebraska,Dixon,435,7.9,0,0,0,0,5682
Nebraska,Dodge,3408,9.7,0,1,0,0,36565
Nebraska,Douglas,55209,9.8,0,4,0,1,565739
Nebraska,Dundy,201,12.2,0,0,0,0,1928
Nebraska,Fillmore,452,8.5,0,0,0,0,5542
Nebraska,Franklin,303,10.4,0,0,0,0,2970
Nebraska,Frontier,321,13.0,0,0,0,0,2636
Nebraska,Furnas,459,10.0,0,0,0,0,4712
Nebraska,Gage,1799,8.5,0,1,0,0,21548
Nebraska,Garden,253,13.9,0,0,0,0,1916
Nebraska,Garfield,219,11.6,0,0,0,0,2081
Nebraska,Gosper,154,7.9,0,0,0,0,2001
Nebraska,Grant,58,9.2,0,0,0,0,691
Nebraska,Greeley,274,12.2,0,0,0,0,2361
Nebraska,Hall,7093,11.8,0,1,0,0,61338
Nebraska,Hamilton,606,6.7,0,0,0,0,9219
Nebraska,Harlan,321,9.9,0,0,0,0,3380
Nebraska,Hayes,134,14.7,0,0,0,0,889
Nebraska,Hitchcock,328,12.0,0,0,0,0,2788
Nebraska,Holt,1071,10.9,0,1,0,0,10123
Nebraska,Hooker,49,7.9,0,0,0,0,741
Nebraska,Howard,564,8.8,0,0,0,0,6428
Nebraska,Jefferson,687,9.9,0,0,0,0,7102
Nebraska,Johnson,489,12.3,0,0,0,0,5118
Nebraska,Kearney,495,7.6,0,0,0,0,6588
Nebraska,Keith,928,11.7,0,0,0,0,8048
Nebraska,Keya Paha,131,17.3,0,0,0,0,875
Nebraska,Kimball,377,11.0,0,0,0,0,3576
Nebraska,Knox,1100,13.6,0,0,0,0,8400
Nebraska,Lancaster,28584,9.4,1,1,0,1,315976
Nebraska,Lincoln,3168,9.4,0,1,0,0,35042
Nebraska,Logan,69,9.3,0,0,0,0,896
Nebraska,Loup,98,15.1,0,0,0,0,690
Nebraska,Madison,3564,10.6,1,0,0,0,35023
Nebraska,McPherson,62,13.1,0,0,0,0,420
Nebraska,Merrick,734,9.6,0,0,0,0,7826
Nebraska,Morrill,567,12.5,0,0,0,0,4711
Nebraska,Nance,391,11.4,0,0,0,0,3525
Nebraska,Nemaha,769,11.8,0,0,0,0,6978
Nebraska,Nuckolls,399,9.8,1,0,0,0,4204
Nebraska,Otoe,1322,8.4,0,0,0,0,15965
Nebraska,Pawnee,325,12.7,0,0,0,0,2640
Nebraska,Perkins,283,10.0,0,0,0,0,2889
Nebraska,Phelps,993,11.3,0,0,0,0,9050
Nebraska,Pierce,575,8.2,0,0,0,0,7132
Nebraska,Platte,2181,6.6,0,0,0,0,33250
Nebraska,Polk,370,7.3,0,0,0,0,5208
Nebraska,Red Willow,968,9.5,1,0,0,0,10725
Nebraska,Richardson,721,9.5,0,0,0,0,7913
Nebraska,Rock,180,13.3,0,0,0,0,1430
Nebraska,Saline,1046,8.0,0,0,0,0,14221
Nebraska,Sarpy,9104,4.9,0,1,0,1,183956
Nebraska,Saunders,1217,5.7,0,0,0,0,21356
Nebraska,Scotts Bluff,4287,12.4,0,0,0,0,35884
Nebraska,Seward,1087,6.8,0,0,0,0,17217
Nebraska,Sheridan,691,13.8,0,0,0,0,5215
Nebraska,Sherman,332,11.4,0,0,0,0,3015
Nebraska,Sioux,183,15.3,0,0,0,0,1298
